Z,A,E0,ThetaDeg,nu,cross,error,dataSet
79,197,4.045,15,0.72,39480,631.7,Arrington:1998ps
79,197,4.045,15,0.705,38850,625.5,Arrington:1998ps
79,197,4.045,15,0.69,35900,592.3,Arrington:1998ps
79,197,4.045,15,0.675,36010,601.4,Arrington:1998ps
79,197,4.045,15,0.66,34380,577.6,Arrington:1998ps
79,197,4.045,15,0.645,32120,558.9,Arrington:1998ps
79,197,4.045,15,0.63,31980,559.7,Arrington:1998ps
79,197,4.045,15,0.615,32070,170,Arrington:1998ps
79,197,4.045,15,0.6,31700,168,Arrington:1998ps
79,197,4.045,15,0.585,31340,166.1,Arrington:1998ps
79,197,4.045,15,0.57,30690,162.7,Arrington:1998ps
79,197,4.045,15,0.555,30770,163.1,Arrington:1998ps
79,197,4.045,15,0.54,29770,160.8,Arrington:1998ps
79,197,4.045,15,0.525,30320,166.8,Arrington:1998ps
79,197,4.045,15,0.51,29300,164.1,Arrington:1998ps
79,197,4.045,15,0.495,27480,159.4,Arrington:1998ps
79,197,4.045,15,0.48,25960,158.4,Arrington:1998ps
79,197,4.045,15,0.465,24970,159.8,Arrington:1998ps
79,197,4.045,15,0.45,23330,158.6,Arrington:1998ps
79,197,4.045,15,0.435,21230,152.9,Arrington:1998ps
79,197,4.045,15,0.42,19080,145,Arrington:1998ps
79,197,4.045,15,0.405,16690,136.9,Arrington:1998ps
79,197,4.045,15,0.39,14450,128.6,Arrington:1998ps
79,197,4.045,15,0.375,12210,118.4,Arrington:1998ps
79,197,4.045,15,0.36,9549,103.1,Arrington:1998ps
79,197,4.045,15,0.345,7057,85.39,Arrington:1998ps
79,197,4.045,15,0.33,5907,80.93,Arrington:1998ps
79,197,4.045,15,0.315,4947,75.19,Arrington:1998ps
79,197,4.045,15,0.3,3754,65.7,Arrington:1998ps
79,197,4.045,15,0.285,2898,57.67,Arrington:1998ps
79,197,4.045,15,0.27,2228,50.58,Arrington:1998ps
79,197,4.045,15,0.255,1625,43.23,Arrington:1998ps
79,197,4.045,15,0.24,1318,39.28,Arrington:1998ps
79,197,4.045,15,0.225,958.1,33.53,Arrington:1998ps
79,197,4.045,15,0.21,742.3,29.77,Arrington:1998ps
79,197,4.045,15,0.195,501.2,24.76,Arrington:1998ps
79,197,4.045,15,0.18,394.6,22.29,Arrington:1998ps
79,197,4.045,15,0.165,267.2,18.6,Arrington:1998ps
79,197,4.045,15,0.15,193.9,15.98,Arrington:1998ps
79,197,4.045,15,0.135,110.1,12.12,Arrington:1998ps
79,197,4.045,15,0.12,77.33,10.11,Arrington:1998ps
79,197,4.045,15,0.105,35.71,6.688,Arrington:1998ps
79,197,4.045,15,0.09,26.35,5.436,Arrington:1998ps
79,197,4.045,15,0.075,10.33,3.185,Arrington:1998ps
79,197,4.045,15,0.06,0.7436,0.9107,Arrington:1998ps
79,197,4.045,15,0.045,2.191,1.162,Arrington:1998ps
79,197,4.045,15,0.03,0.3793,0.4645,Arrington:1998ps
79,197,4.045,23,1.53,3038,28.56,Arrington:1998ps
79,197,4.045,23,1.515,2962,27.25,Arrington:1998ps
79,197,4.045,23,1.5,2927,26.64,Arrington:1998ps
79,197,4.045,23,1.485,2888,25.99,Arrington:1998ps
79,197,4.045,23,1.47,2753,24.78,Arrington:1998ps
79,197,4.045,23,1.455,2741,24.39,Arrington:1998ps
79,197,4.045,23,1.44,2646,23.81,Arrington:1998ps
79,197,4.045,23,1.425,2603,23.43,Arrington:1998ps
79,197,4.045,23,1.41,2539,23.1,Arrington:1998ps
79,197,4.045,23,1.395,2522,22.95,Arrington:1998ps
79,197,4.045,23,1.38,2418,22.49,Arrington:1998ps
79,197,4.045,23,1.365,2389,22.46,Arrington:1998ps
79,197,4.045,23,1.35,2285,21.94,Arrington:1998ps
79,197,4.045,23,1.335,2218,21.74,Arrington:1998ps
79,197,4.045,23,1.32,2151,21.29,Arrington:1998ps
79,197,4.045,23,1.305,2085,21.06,Arrington:1998ps
79,197,4.045,23,1.29,1942,20.39,Arrington:1998ps
79,197,4.045,23,1.275,1896,20.1,Arrington:1998ps
79,197,4.045,23,1.26,1838,19.85,Arrington:1998ps
79,197,4.045,23,1.245,1795,19.75,Arrington:1998ps
79,197,4.045,23,1.23,1706,19.28,Arrington:1998ps
79,197,4.045,23,1.215,1680,19.32,Arrington:1998ps
79,197,4.045,23,1.2,1645,19.25,Arrington:1998ps
79,197,4.045,23,1.185,1589,19.07,Arrington:1998ps
79,197,4.045,23,1.17,1538,18.92,Arrington:1998ps
79,197,4.045,23,1.155,1467,18.63,Arrington:1998ps
79,197,4.045,23,1.14,1419,18.45,Arrington:1998ps
79,197,4.045,23,1.125,1339,18.08,Arrington:1998ps
79,197,4.045,23,1.11,1279,10.62,Arrington:1998ps
79,197,4.045,23,1.095,1204,10.23,Arrington:1998ps
79,197,4.045,23,1.08,1121,9.753,Arrington:1998ps
79,197,4.045,23,1.065,1104,9.715,Arrington:1998ps
79,197,4.045,23,1.05,1033,9.4,Arrington:1998ps
