Q2_0.01_x,Q2_0.01_RL_1b,Q2_0.01_RT_1b,Q2_0.01_RL_1b2b,Q2_0.01_RT_1b2b,,Q2_0.02_x,Q2_0.02_RL_1b,Q2_0.02_RT_1b,Q2_0.02_RL_1b2b,Q2_0.02_RT_1b2b,,Q2_0.026_x,Q2_0.026_RL_1b,Q2_0.026_RT_1b,Q2_0.026_RL_1b2b,Q2_0.026_RT_1b2b,,Q2_0.04_x,Q2_0.04_RL_1b,Q2_0.04_RT_1b,Q2_0.04_RL_1b2b,Q2_0.04_RT_1b2b,,Q2_0.056_x,Q2_0.056_RL_1b,Q2_0.056_RT_1b,Q2_0.056_RL_1b2b,Q2_0.056_RT_1b2b,,Q2_0.093_x,Q2_0.093_RL_1b,Q2_0.093_RT_1b,Q2_0.093_RL_1b2b,Q2_0.093_RT_1b2b,,Q2_0.12_x,Q2_0.12_RL_1b,Q2_0.12_RT_1b,Q2_0.12_RL_1b2b,Q2_0.12_RT_1b2b,,Q2_0.16_x,Q2_0.16_RL_1b,Q2_0.16_RT_1b,Q2_0.16_RL_1b2b,Q2_0.16_RT_1b2b,,Q2_0.265_x,Q2_0.265_RL_1b,Q2_0.265_RT_1b,Q2_0.265_RL_1b2b,Q2_0.265_RT_1b2b,,Q2_0.38_x,Q2_0.38_RL_1b,Q2_0.38_RT_1b,Q2_0.38_RL_1b2b,Q2_0.38_RT_1b2b
40,0.0512007,0.0121689,0.0513483,0.0154005,,40,0.103748,0.0241322,0.103473,0.0310394,,40,0.121128,0.0303348,0.120623,0.039039,,40,0.122329,0.0388117,0.121588,0.0497175,,40,0.0966816,0.04083,0.0959543,0.0520606,,40,0.0521078,0.0365954,0.051478,0.0463859,,40,0.0323827,0.0297517,0.031908,0.0375284,,40,0.0158935,0.0200216,0.0156348,0.0250494,,40,0.00191625,0.0044365,0.00187827,0.00540939,,40,2.44E-05,1.09E-04,2.39E-05,1.24E-04
41,0.0480533,0.0117409,0.0482154,0.0148125,,41,0.0992841,0.0236343,0.0990487,0.0303401,,41,0.11728,0.0299694,0.116814,0.0385175,,41,0.121165,0.0389619,0.120435,0.0498869,,41,0.0972289,0.0413596,0.0964919,0.0527299,,41,0.0533409,0.0374889,0.0526907,0.0475244,,41,0.0334324,0.0306797,0.0329385,0.0387107,,41,0.0164198,0.0206777,0.0161505,0.025881,,41,0.00201958,0.00467107,0.00197951,0.0056977,,41,2.88E-05,1.27E-04,2.83E-05,1.46E-04
42,0.0451777,0.011294,0.0453562,0.0141995,,42,0.0950565,0.023059,0.0948652,0.0295401,,42,0.113562,0.029498,0.113142,0.0378577,,42,0.119992,0.0389937,0.119283,0.0499026,,42,0.0977998,0.0418128,0.097059,0.0532998,,42,0.0545433,0.0383237,0.0538773,0.0485859,,42,0.0344717,0.031573,0.0339616,0.0398474,,42,0.0169634,0.0213406,0.0166844,0.0267203,,42,0.00212837,0.00491607,0.00208611,0.00599858,,42,3.39E-05,1.48E-04,3.33E-05,1.70E-04
43,0.0425311,0.0108321,0.0427268,0.0135677,,43,0.091026,0.0224192,0.0908822,0.0286568,,43,0.10995,0.0289342,0.10958,0.037078,,43,0.118803,0.0389144,0.118121,0.0497737,,43,0.0983739,0.0421856,0.0976351,0.0537645,,43,0.0557017,0.0390971,0.0550244,0.049567,,43,0.0354875,0.0324302,0.034964,0.0409366,,43,0.0175244,0.0220146,0.0172362,0.0275728,,43,0.00224351,0.00517245,0.00219896,0.00631308,,43,3.96E-05,1.71E-04,3.90E-05,1.97E-04
44,0.0400667,0.0103577,0.0402798,0.0129211,,44,0.0871479,0.0217262,0.0870532,0.0277059,,44,0.106407,0.0282911,0.106091,0.0361961,,44,0.117574,0.0387335,0.116924,0.0495125,,44,0.0989188,0.0424784,0.0981874,0.0541241,,44,0.0567898,0.0398052,0.0561058,0.0504624,,44,0.0364645,0.0332466,0.0359308,0.0419724,,44,0.0180943,0.0226904,0.0177977,0.0284263,,44,0.00236469,0.00543911,0.00231774,0.00663973,,44,4.60E-05,1.97E-04,4.53E-05,2.26E-04
45,0.0377465,0.00987378,0.0379767,0.0122643,,45,0.0833846,0.0209908,0.0833394,0.026702,,45,0.102903,0.0275817,0.102643,0.0352289,,45,0.116268,0.0384594,0.115655,0.0491294,,45,0.0994095,0.0426968,0.0986899,0.0543858,,45,0.0578023,0.0404537,0.057116,0.0512803,,45,0.0373805,0.0340106,0.0368399,0.0429404,,45,0.0186641,0.0233627,0.0183598,0.0292743,,45,0.00249103,0.00571431,0.00244161,0.00697633,,45,5.33E-05,2.24E-04,5.25E-05,2.58E-04
46,0.0355492,0.00938563,0.0357958,0.0116049,,46,0.0797193,0.0202257,0.0797226,0.0256619,,46,0.0994227,0.0268202,0.099218,0.0341953,,46,0.114854,0.0381018,0.114282,0.0486365,,46,0.0998022,0.0428405,0.0990985,0.0545494,,46,0.0587191,0.0410404,0.0580343,0.0520177,,46,0.0382492,0.0347458,0.0377039,0.0438701,,46,0.0192253,0.0240248,0.0189142,0.0301086,,46,0.00262118,0.00599615,0.00256923,0.00732056,,46,6.12E-05,2.54E-04,6.04E-05,2.93E-04
47,0.0334666,0.00889983,0.0337284,0.0109517,,47,0.0761512,0.0194441,0.0762009,0.0246035,,47,0.0959661,0.0260217,0.095816,0.0331152,,47,0.113312,0.037671,0.112782,0.0480473,,47,0.100059,0.0429098,0.0993745,0.0546152,,47,0.0595471,0.0415735,0.0588671,0.0526855,,47,0.0390621,0.0354479,0.0385144,0.0447563,,47,0.0197775,0.0246801,0.0194603,0.0309333,,47,0.00275401,0.00628324,0.00269955,0.00767079,,47,6.99E-05,2.86E-04,6.90E-05,3.30E-04
48,0.0315008,0.00842417,0.0317762,0.0103151,,48,0.0726948,0.0186605,0.0727881,0.0235454,,48,0.0925481,0.0252022,0.0924504,0.0320091,,48,0.111644,0.0371792,0.111156,0.0473775,,48,0.100194,0.0429202,0.099531,0.0546033,,48,0.0602802,0.0420521,0.0596076,0.0532823,,48,0.039814,0.0361104,0.0392661,0.0455907,,48,0.0203142,0.02532,0.0199917,0.0317378,,48,0.00288857,0.00657416,0.00283161,0.00802537,,48,7.92E-05,3.19E-04,7.81E-05,3.68E-04
49,0.029659,0.00796648,0.0299459,0.00970488,,49,0.0693704,0.0178889,0.0695037,0.0225057,,49,0.0891971,0.0243784,0.0891486,0.0308987,,49,0.109871,0.0366414,0.109426,0.0466465,,49,0.100199,0.0428767,0.0995589,0.0545202,,49,0.0609396,0.0424848,0.0602764,0.0538189,,49,0.0405124,0.036735,0.0399659,0.0463753,,49,0.0208407,0.0259518,0.0205133,0.032531,,49,0.00302499,0.00686955,0.00296556,0.00838519,,49,8.91E-05,0.000354949,8.79E-05,0.000408969
