Z,A,E0,ThetaDeg,nu,cross,error
6,12,1.2044,13.01,0.94514,152.018,36.8698
6,12,1.2044,13.01,0.95718,0,0
6,12,1.2044,13.01,0.96922,0,0
6,12,1.2044,13.01,0.98126,0,0
6,12,1.2044,13.01,0.9933,0,0
6,12,1.2044,13.01,1.00534,0,0
6,12,1.2044,13.01,1.01738,0,0
6,12,1.2044,13.01,1.02942,0,0
6,12,1.2044,13.01,1.04146,0,0
6,12,1.2044,13.01,1.0535,0,0
6,12,1.2044,13.01,1.06554,0,0
6,12,1.2044,13.01,1.07758,0,0
6,12,1.2044,13.01,1.08962,0,0
6,12,1.2044,13.01,1.10166,0,0
6,12,1.2044,13.01,1.1137,0,0
6,12,1.2044,13.01,1.12574,0,0
6,12,1.2044,13.01,1.13778,0,0
6,12,1.2044,13.01,1.14982,0,0
6,12,1.2044,13.01,1.16186,0,0
6,12,1.2044,13.01,1.1739,0,0
6,12,1.2044,13.01,1.18594,0,0
6,12,1.2044,16.01,0.00602,41282.8,548.927
6,12,1.2044,16.01,0.01806,133717,987.923
6,12,1.2044,16.01,0.0301,215158,1253.17
6,12,1.2044,16.01,0.04214,290827,1456.96
6,12,1.2044,16.01,0.05418,329109,1549.89
6,12,1.2044,16.01,0.06622,336087,1566.23
6,12,1.2044,16.01,0.07826,314533,1515.18
6,12,1.2044,16.01,0.0903,277404,1422.94
6,12,1.2044,16.01,0.10234,233603,1305.78
6,12,1.2044,16.01,0.11438,190152,1178.1
6,12,1.2044,16.01,0.12642,149212,1043.6
6,12,1.2044,16.01,0.13846,116703,922.934
6,12,1.2044,16.01,0.1505,87222.4,797.892
6,12,1.2044,16.01,0.16254,66318.2,695.739
6,12,1.2044,16.01,0.17458,52910.1,621.44
6,12,1.2044,16.01,0.18662,43501.7,563.486
6,12,1.2044,16.01,0.19866,37830.4,525.473
6,12,1.2044,16.01,0.2107,35064.1,505.897
6,12,1.2044,16.01,0.22274,35582.4,509.621
