Z A E0 ThetaDeg nu cross error dataSet
 20  40  0.2000 140.000  0.1175  4.763e+03  3.795e+02 Meziani:1984is 
 20  40  0.2190 140.000  0.0046  1.553e+02  3.213e+00 Williamson:1997 
 20  40  0.2190 140.000  0.0127  1.227e+03  2.808e+01 Williamson:1997 
 20  40  0.2190 140.000  0.0230  2.660e+03  4.559e+01 Williamson:1997 
 20  40  0.2190 140.000  0.0332  3.863e+03  5.893e+01 Williamson:1997 
 20  40  0.2190 140.000  0.0434  5.163e+03  9.577e+01 Williamson:1997 
 20  40  0.2190 140.000  0.0537  6.691e+03  1.144e+02 Williamson:1997 
 20  40  0.2190 140.000  0.0639  7.933e+03  1.304e+02 Williamson:1997 
 20  40  0.2190 140.000  0.0742  8.580e+03  1.456e+02 Williamson:1997 
 20  40  0.2190 140.000  0.0845  8.806e+03  1.512e+02 Williamson:1997 
 20  40  0.2190 140.000  0.0948  8.542e+03  1.544e+02 Williamson:1997 
 20  40  0.2190 140.000  0.1051  7.322e+03  1.471e+02 Williamson:1997 
 20  40  0.2190 140.000  0.1154  6.167e+03  1.044e+02 Williamson:1997 
 20  40  0.2190 140.000  0.1257  4.733e+03  9.543e+01 Williamson:1997 
 20  40  0.2190 140.000  0.1360  3.456e+03  8.809e+01 Williamson:1997 
 20  40  0.2190 140.000  0.1463  3.068e+03  9.592e+01 Williamson:1997 
 20  40  0.2400  60.000  0.0075  2.626e+05  7.972e+03 Meziani:1984is 
 20  40  0.2400  60.000  0.0125  1.241e+05  3.986e+03 Meziani:1984is 
 20  40  0.2400  60.000  0.0175  1.459e+05  5.179e+03 Meziani:1984is 
 20  40  0.2400  60.000  0.0225  1.488e+05  5.467e+03 Meziani:1984is 
 20  40  0.2400  60.000  0.0275  1.432e+05  5.429e+03 Meziani:1984is 
 20  40  0.2400  60.000  0.0325  1.435e+05  5.584e+03 Meziani:1984is 
 20  40  0.2400  60.000  0.0375  1.372e+05  5.527e+03 Meziani:1984is 
 20  40  0.2400  60.000  0.0425  1.390e+05  5.713e+03 Meziani:1984is 
 20  40  0.2400  60.000  0.0475  1.508e+05  6.207e+03 Meziani:1984is 
