Z,A,E0,ThetaDeg,nu,cross,error,dataSet,sigtot,sigqe,sigie,sigmec,nuccstot,signonuc,ratio
26,56,0.2008,160.0,0.10782,8558.4987,205.82,Altemus:1973,8553.167999999998,6013.435999999999,190.83999999999997,2348.892,0.0,8553.167999999998,1.0006232427563684
26,56,0.2008,160.0,0.11755,6341.01615,193.88,Altemus:1973,6410.455999999998,4550.0,293.644,1566.812,0.0,6410.455999999998,0.9891677206738494
26,56,0.2008,160.0,0.12839,5437.23291,200.01,Altemus:1973,4547.191999999999,3098.1079999999997,474.18799999999993,974.8439999999999,0.0,4547.191999999999,1.1957341827659798
26,56,0.2008,160.0,0.13792,4284.48501,209.25,Altemus:1973,3409.536,2055.768,683.852,669.9159999999999,0.0,3409.536,1.2566182055270865
26,56,0.2203,140.0,0.00642,457.53904,30.72222404,Altemus:1973,0.052,0.0,0.0,0.0,0.052,0.0,8798.827692307692
26,56,0.2203,140.0,0.01453,2050.71552,84.05012634,Altemus:1973,216.00799999999998,0.0,0.0,0.0,216.00799999999998,0.0,9.493701714751307
26,56,0.2203,140.0,0.02472,3956.38488,142.3608197,Altemus:1973,3151.1479999999997,361.97200000000004,0.0,142.11599999999999,2647.1119999999996,504.0879999999999,1.2555376262873088
26,56,0.2203,140.0,0.03491,5538.3104,190.3222963,Altemus:1973,4245.228,2899.6759999999995,4.367999999999999,1248.52,92.612,4152.563999999999,1.3045966906842223
26,56,0.2203,140.0,0.04512,7543.61664,282.2338764,Altemus:1973,7228.6759999999995,4753.32,7.175999999999998,2317.536,150.696,7077.98,1.0435682329654836
26,56,0.2203,140.0,0.05535,9386.54416,340.6900015,Altemus:1973,10104.692,6503.588000000001,14.612,3447.912,138.57999999999998,9966.112000000001,0.928929269689764
