Data:Z,A,E0,ThetaDeg,nu,cross,error,dataSet,Fit:ep,theta,nu_fit,Ex,W2,q2,sigtot,sigqe,sigie,sigmec,nuccstot,signonuc,ratio
26,56,0.19,140.0,0.0292,7723.7052,235.7016086,Altemus:1973,0.1608,140.0000,0.0292,0.0251,0.8272,0.1079,6339.215999999999,4059.8479999999995,0.0,1363.1799999999998,916.1879999999999,5423.028,1.2184006981304945
26,56,0.19,140.0,0.04057,10724.892,328.8698976,Altemus:1973,0.1494,140.0000,0.0406,0.0365,0.8562,0.1003,11817.572,8403.304,0.0,3110.2239999999993,304.096,11513.476,0.9075376904832905
26,56,0.19,140.0,0.0511,12778.203,388.5649344,Altemus:1973,0.1389,140.0000,0.0511,0.047,0.8830,0.0932,16242.668,11473.851999999999,4.94,4454.996,308.88,15933.787999999999,0.7867059155552524
26,56,0.19,140.0,0.06167,14799.537,448.6479023,Altemus:1973,0.1283,140.0000,0.0617,0.0576,0.9100,0.0861,18660.772,13387.764,14.819999999999999,5169.58,88.556,18572.215999999997,0.7930827834989892
26,56,0.19,140.0,0.07227,15764.661,480.8574249,Altemus:1973,0.1177,140.0000,0.0723,0.0682,0.9370,0.0790,18787.964,13699.92,23.555999999999997,5058.767999999999,5.668000000000001,18782.243999999995,0.839082989513925
26,56,0.19,140.0,0.08285,15418.728,478.5306701,Altemus:1973,0.1072,140.0000,0.0828,0.0788,0.9639,0.0719,16642.287999999997,12338.3,45.5,4258.436,0.104,16642.183999999997,0.926478859156866
26,56,0.19,140.0,0.09351,13719.102,441.0358141,Altemus:1973,0.0965,140.0000,0.0935,0.0894,0.9911,0.0648,13094.951999999997,9877.867999999999,94.692,3122.3399999999997,0.0,13094.951999999997,1.047663404951771
26,56,0.19,140.0,0.10411,10478.766,364.4949354,Altemus:1973,0.0859,140.0000,0.1041,0.1,1.0181,0.0576,9409.712,7203.352,156.88400000000001,2049.424,0.0,9409.712,1.113611766226214
26,56,0.2004,90.0,0.00662,23245.056,751.6475328,Altemus:1973,0.1938,90.0000,0.0066,0.0041,0.8151,0.0777,50463.34799999999,0.0,0.0,0.0,50463.34799999999,0.0,0.4606324574421817
26,56,0.2004,90.0,0.01907,35637.534,1148.090287,Altemus:1973,0.1813,90.0000,0.0191,0.0165,0.8435,0.0727,25108.147999999997,0.0,0.0,0.0,25108.147999999997,0.0,1.4193613164937535
26,56,0.2004,90.0,0.02962,40890.186,1311.421837,Altemus:1973,0.1708,90.0000,0.0296,0.0271,0.8675,0.0684,41179.42399999999,25305.8,0.0,3517.124,12356.5,28822.923999999995,0.9929761523619177
26,56,0.2004,90.0,0.04019,46439.136,1435.94855,Altemus:1973,0.1602,90.0000,0.0402,0.0376,0.8916,0.0642,54354.664000000004,41121.59999999999,0.0,5983.068,7249.995999999999,47104.66799999999,0.8543726072890451
26,56,0.2004,90.0,0.05111,50533.146,1614.037431,Altemus:1973,0.1493,90.0000,0.0511,0.0486,0.9164,0.0598,60010.59999999999,49292.827999999994,1.9759999999999998,7248.852,3466.9439999999995,56543.655999999995,0.8420703342409509
26,56,0.2004,90.0,0.06146,52509.528,1681.870592,Altemus:1973,0.1389,90.0000,0.0615,0.0589,0.9400,0.0557,56415.42399999999,48645.896,12.219999999999999,7044.5960000000005,712.66,55702.763999999996,0.9307654587511388
26,56,0.2004,90.0,0.07202,48038.508,1560.399618,Altemus:1973,0.1284,90.0000,0.0720,0.0695,0.9640,0.0515,47436.219999999994,41533.128000000004,37.803999999999995,5831.072,34.164,47402.056,1.0126967958239508
26,56,0.2004,90.0,0.08262,38085.444,1281.63414,Altemus:1973,0.1178,90.0000,0.0826,0.0801,0.9882,0.0472,36061.376,31742.983999999997,89.07599999999998,4228.951999999999,0.364,36061.012,1.05612841839424
26,56,0.2004,90.0,0.09322,29724.318,1064.445116,Altemus:1973,0.1072,90.0000,0.0932,0.0907,1.0123,0.0430,25428.468,22470.552,184.704,2773.2119999999995,0.0,25428.468,1.1689386084918683
26,56,0.2004,90.0,0.10382,20261.898,879.0214602,Altemus:1973,0.0966,90.0000,0.1038,0.1013,1.0365,0.0387,17088.448,15019.264,352.40399999999994,1716.8319999999999,0.0,17088.448,1.1857073269614655
26,56,0.2004,90.0,0.11443,14484.618,993.6068924,Altemus:1973,0.0860,90.0000,0.1144,0.1119,1.0606,0.0345,11236.836,9493.796,681.4079999999999,1061.58,0.0,11236.836,1.2890299368968277
26,56,0.2008,160.0,0.00582,299.452671,23.948,Altemus:1973,0.1950,160.0000,0.0058,0.0008,0.7394,0.1519,0.052,0.0,0.0,0.0,0.052,0.0,5758.705211538462
26,56,0.2008,160.0,0.01486,1931.59746,55.627,Altemus:1973,0.1859,160.0000,0.0149,0.0099,0.7634,0.1448,70.72,0.0,0.0,0.0,70.72,0.0,27.3133125
26,56,0.2008,160.0,0.02596,3793.77729,93.176,Altemus:1973,0.1748,160.0000,0.0260,0.021,0.7929,0.1362,5281.795999999999,889.6159999999999,0.0,371.384,4020.8479999999995,1260.9479999999999,0.7182741041115561
26,56,0.2008,160.0,0.03618,5464.58472,116.21,Altemus:1973,0.1646,160.0000,0.0362,0.0312,0.8200,0.1282,5290.375999999999,3613.532,0.0,1627.912,48.931999999999995,5241.443999999999,1.0329293645669042
26,56,0.2008,160.0,0.04631,6954.58134,136.2,Altemus:1973,0.1545,160.0000,0.0463,0.0413,0.8469,0.1203,8615.568,5752.4479999999985,3.432,2809.404,50.336,8565.284000000001,0.8072110091870902
26,56,0.2008,160.0,0.05638,8529.07068,156.84,Altemus:1973,0.1444,160.0000,0.0564,0.0514,0.8737,0.1125,11585.6,7645.403999999999,8.372,3895.788,35.984,11549.564,0.7361785906642729
26,56,0.2008,160.0,0.06663,9778.9491,175.41,Altemus:1973,0.1342,160.0000,0.0666,0.0616,0.9009,0.1045,13665.235999999999,9038.9,14.872,4604.964,6.5,13658.735999999999,0.7156077728917378
26,56,0.2008,160.0,0.07706,10416.2553,190.06,Altemus:1973,0.1237,160.0000,0.0771,0.0721,0.9286,0.0964,14356.108,9613.24,31.512,4711.148,0.25999999999999995,14355.847999999998,0.7255626176676855
26,56,0.2008,160.0,0.08732,10290.78,199.19,Altemus:1973,0.1135,160.0000,0.0873,0.0823,0.9558,0.0884,13425.828,9165.624,46.852000000000004,4213.351999999999,0.0,13425.828,0.7664912733873844
26,56,0.2008,160.0,0.09759,9880.9542,206.55,Altemus:1973,0.1032,160.0000,0.0976,0.0926,0.9831,0.0804,11270.532,7864.22,82.41999999999999,3323.944,0.0,11270.532,0.8767069912937562
26,56,0.2008,160.0,0.10782,8558.4987,205.82,Altemus:1973,0.0930,160.0000,0.1078,0.1028,1.0103,0.0724,8667.411999999998,6162.156,156.364,2348.892,0.0,8667.411999999998,0.9874341614313479
26,56,0.2008,160.0,0.11755,6341.01615,193.88,Altemus:1973,0.0833,160.0000,0.1176,0.1126,1.0361,0.0649,6366.463999999999,4557.748,241.90399999999997,1566.812,0.0,6366.463999999999,0.9960028282575699
26,56,0.2008,160.0,0.12839,5437.23291,200.01,Altemus:1973,0.0724,160.0000,0.1284,0.1234,1.0649,0.0564,4404.972,3029.8839999999996,400.24399999999997,974.8439999999999,0.0,4404.972,1.2343399481313388
26,56,0.2008,160.0,0.13792,4284.48501,209.25,Altemus:1973,0.0629,160.0000,0.1379,0.1329,1.0902,0.0490,3260.816,1969.2399999999996,621.6079999999998,669.9159999999999,0.0,3260.816,1.3139303198953882
26,56,0.2203,140.0,0.00642,457.53904,30.72222404,Altemus:1973,0.2139,140.0000,0.0064,0.001,0.7260,0.1664,0.052,0.0,0.0,0.0,0.052,0.0,8798.827692307692
26,56,0.2203,140.0,0.01453,2050.71552,84.05012634,Altemus:1973,0.2058,140.0000,0.0145,0.0091,0.7475,0.1601,216.00799999999998,0.0,0.0,0.0,216.00799999999998,0.0,9.493701714751307
26,56,0.2203,140.0,0.02472,3956.38488,142.3608197,Altemus:1973,0.1956,140.0000,0.0247,0.0193,0.7746,0.1522,3128.4239999999995,339.196,0.0,142.11599999999999,2647.1119999999996,481.31199999999995,1.264657501668572
26,56,0.2203,140.0,0.03491,5538.3104,190.3222963,Altemus:1973,0.1854,140.0000,0.0349,0.0295,0.8016,0.1443,4172.375999999999,2831.244,0.0,1248.52,92.612,4079.763999999999,1.3273756727581603
26,56,0.2203,140.0,0.04512,7543.61664,282.2338764,Altemus:1973,0.1752,140.0000,0.0451,0.0397,0.8287,0.1363,7306.883999999999,4837.195999999999,1.456,2317.536,150.696,7156.1359999999995,1.0323985764657002
26,56,0.2203,140.0,0.05535,9386.54416,340.6900015,Altemus:1973,0.1649,140.0000,0.0554,0.0499,0.8559,0.1284,10418.355999999998,6825.987999999999,5.824,3447.912,138.57999999999998,10279.724,0.900962124926428
