XSCode_nu,XSCode_RT,XSCode_RTerr,,Bianchi_nu,Bianchi_RT,Bianchi_RTerr,,Morejon_nu,Morejon_cross,Morejon_RT,Morejon_RTerr
,,,,,,,,3.24738,5.8402,0.338048545,0.016902427
,,,,,,,,3.45141,5.78315,0.355778131,0.017788907
,,,,,,,,3.66826,5.7347,0.374963551,0.018748178
,,,,,,,,3.89873,5.67602,0.394443966,0.019722198
,,,,,,,,4.14369,5.62058,0.4151324,0.02075662
,,,,,,,,4.40404,5.56438,0.436803667,0.021840183
,,,,,,,,4.68074,5.51131,0.459819725,0.022990986
,,,,,,,,4.97483,5.4613?,0.484275522,0.024213776
,,,,,,,,5.28739,5.4029?,0.509197795,0.02545989
,,,,,,,,5.6196,5.34762,0.53565379,0.02678269
,,,,,,,,5.97267,5.30034,0.564274583,0.028213729
,,,,,,,,6.34793,5.25839,0.594981089,0.029749054
,,,,,,,,6.74677,5.20946,0.626479483,0.031323974
,,,,,,,,7.17067,5.16822,0.660570186,0.033028509
,,,,,,,,7.6212,5.13091,0.697005163,0.034850258
,,,,,,,,8.10003,5.09387,0.735449275,0.036772464
,,,,,,,,8.60895,5.06183,0.776740554,0.038837028
,,,,,,,,9.14985,5.04529,0.822845595,0.04114228
,,,,,,,,9.72473,5.02059,0.870263059,0.043513153
,,,,,,,,10.04468,5.05355,0.904796501,0.045239825
