qv,q2,ex,nu,W2,RLTOT,RTTOT
2.783,7.70539,0.12538,0.19924,-6.451150752431,-132099776041.00632,10982351561.696068
2.783,7.70499,0.12638,0.20024,-6.448874206430999,-131854094568.32957,10961883308.27627
2.783,7.70459,0.12739,0.20124,-6.446597660430999,-131608812754.07158,10941448421.892025
2.783,7.70419,0.12839,0.20224,-6.444321114430999,-131363930041.17992,10921046855.936508
2.783,7.70378,0.1294,0.20324,-6.442034568431,-131118372825.71712,10900589167.035505
2.783,7.70338,0.1304,0.20424,-6.4397580224310005,-130874288393.97762,10880254248.186573
2.783,7.70297,0.1314,0.20524,-6.437471476431,-130629531845.55756,10859863405.38644
2.783,7.70255,0.13241,0.20624,-6.435174930431,-130384107875.25694,10839417030.493303
2.783,7.70214,0.13341,0.20724,-6.432888384431,-130140153251.07742,10819093138.354067
2.783,7.70173,0.13442,0.20824,-6.430601838431,-129896597871.85616,10798802578.033628
2.783,7.70131,0.13542,0.20924,-6.428305292431,-129652378628.97308,10778456782.3845
2.783,7.70089,0.13642,0.21024,-6.426008746431,-129408560999.51688,10758144516.089275
2.783,7.70047,0.13743,0.21124,-6.423712200431,-129165144417.60387,10737865731.803324
2.783,7.70004,0.13843,0.21224,-6.421405654431,-128921071012.06076,10717532299.633373
2.783,7.69962,0.13944,0.21324,-6.419109108431,-128678456570.39441,10697320482.832882
2.783,7.69919,0.14044,0.21424,-6.416802562431,-128435187659.61172,10677054214.514217
2.783,7.69876,0.14144,0.21524,-6.414496016431,-128192321015.05109,10656821529.54164
2.783,7.69833,0.14245,0.21624,-6.4121894704310005,-127949856066.77013,10636622380.231537
2.783,7.6979,0.14345,0.21724,-6.409882924431,-127707792245.49907,10616456718.956682
2.783,7.69746,0.14446,0.21824,-6.407566378431,-127465082125.97276,10596237287.90185
2.783,7.69702,0.14546,0.21924,-6.405249832431,-127222775470.27612,10576051539.766256
2.783,7.69658,0.14646,0.22024,-6.402933286431,-126980871703.74821,10555899426.471996
2.783,7.69614,0.14747,0.22124,-6.4006167404309995,-126739370252.40973,10535780899.99833
2.783,7.6957,0.14847,0.22224,-6.398300194431,-126498270542.96266,10515695912.381624
2.783,7.69525,0.14948,0.22324,-6.395973648430999,-126256533830.95232,10495557930.512909
2.783,7.69481,0.15048,0.22424,-6.393657102431,-126016237616.16353,10475540021.20998
2.783,7.69436,0.15149,0.22524,-6.391330556431,-125775306714.22682,10455469310.74706
2.783,7.69391,0.15249,0.22624,-6.389004010431,-125534778718.98273,10435432235.970324
2.783,7.69345,0.15349,0.22724,-6.386667464431,-125293621808.3949,10415342841.671717
2.783,7.693,0.1545,0.22824,-6.384340918431,-125053899620.88152,10395373037.484415
2.783,7.69254,0.1555,0.22924,-6.382004372431,-124813550819.0847,10375351105.664627
2.783,7.69208,0.15651,0.23024,-6.379667826431,-124573606065.04715,10355362904.373894
2.783,7.69162,0.15751,0.23124,-6.377331280431,-124334064776.78151,10335408384.92274
2.783,7.69115,0.15852,0.23224,-6.374984734431001,-124093903768.28947,10315402313.051657
2.783,7.69069,0.15952,0.23324,-6.3726481884310004,-123855169388.93944,10295515155.077251
2.783,7.69022,0.16053,0.23424,-6.370301642431,-123615817572.34804,10275576635.05872
2.783,7.68975,0.16153,0.23524,-6.367955096431,-123376870336.56206,10255671889.544554
2.783,7.68928,0.16253,0.23624,-6.365608550431,-123138327095.62675,10235800869.514008
2.783,7.68881,0.16354,0.23724,-6.363262004431,-122900187264.29445,10215963526.005604
2.783,7.68833,0.16454,0.23824,-6.360905458431,-122661437983.2533,10196075486.83164
2.783,7.68785,0.16555,0.23924,-6.358548912431,-122423094376.60431,10176221313.032005
2.783,7.68737,0.16655,0.24024,-6.356192366430999,-122185155853.73381,10156400955.196701
2.783,7.68689,0.16756,0.24124,-6.353835820431,-121947621824.74484,10136614363.975815
