Z,A,E0,ThetaDeg,nu,cross,error,dataSet,Veff,Eeff,Ep,Ep_eff,normalization,normError,system_err,normCross,normCrossError,ThetaRad,sin2(T/2),cos2(T/2),tan2(T/2),nuel,Ex,R,F2foc,Q2,Q2eff,qv2,qv,W2_O,W2,epsilon,gamma,Sig_R,D_sig_R,Sig_mott,Sig_mott_eff,H,Hcc,Hstar_Sig(nb),Hstar_error(nb),Hstar_Sig(GeV),Hstar_error(GeV),Hcc_Sig(nb),Hcc_error(nb),Hcc_Sig(GeV),Hcc_error(GeV),qvbin,qvcenter,Q2bin,Q2center
6,12,0.25,50.0,0.0377,94800.0,4740.0,16,0.0031,0.2531,0.2123,0.21539999999999998,0.95853,0.025582,0.0,90868.644,5150.169234708099,0.8726646259971648,0.17860619515673035,0.8213938048432696,0.21744283205399903,0.001981478342038212,0.035718521657961785,2.894010933453939,1.0249537599999998,0.03791809523177385,0.038948824439775535,0.040370114439775534,0.20092315555897367,0.9131839114972262,0.9121531822892245,0.6892961816397886,0.00044610883032480036,203691650.6087559,10625209.98866785,0.005487534231084144,0.005420322235365611,138.31336772652807,134.94595866112837,12568348.17238297,712337.251214033,32.27792564273624,1.829418513226805,12262356.27681679,694994.5246447342,31.49207984049568,1.7848790693024095,"[0.186,0.223]",0.205,"[0.035,0.045]",0.04
6,12,0.25,50.0,0.038,95500.0,4775.0,16,0.0031,0.2531,0.212,0.21509999999999999,0.95853,0.025582,0.0,91539.615,5188.197910491809,0.8726646259971648,0.17860619515673035,0.8213938048432696,0.21744283205399903,0.001981478342038212,0.03601852165796179,2.894010933453939,1.0249537599999998,0.037864513373226834,0.03889457816618253,0.04033857816618253,0.20084466178164292,0.9138004571557732,0.9127703923628174,0.6891650439118793,0.00045457637729588235,201373453.55369654,10504285.39292962,0.005487534231084143,0.00542032223536561,138.4564884645474,135.08559494873936,12674253.64829661,718339.6641457981,32.5499111916575,1.844833859430711,12365683.353653546,700850.8014505925,31.757443566681005,1.7999191099418097,"[0.186,0.223]",0.205,"[0.035,0.045]",0.04
6,12,0.25,50.0,0.0381,97400.0,4870.0,16,0.0031,0.2531,0.2119,0.215,0.95853,0.025582,0.0,93360.822,5291.418601904735,0.8726646259971648,0.17860619515673035,0.8213938048432696,0.21744283205399903,0.001981478342038212,0.03611852165796179,2.894010933453939,1.0249537599999998,0.037846652753711164,0.03887649607498487,0.04032810607498487,0.20081858996364074,0.9140059723752889,0.9129761290540152,0.689121048633316,0.0004573968895185486,204113373.1763473,10647208.39078314,0.005487534231084144,0.005420322235365611,138.50452715723634,135.13246408036628,12930896.506120907,732885.4314478199,33.20901921189795,1.8821901761838447,12616077.925428469,715042.4341560735,32.40050479145318,1.8363659412146014,"[0.186,0.223]",0.205,"[0.035,0.045]",0.04
6,12,0.25,50.0,0.0383,97600.0,4880.0,16,0.0031,0.2531,0.2117,0.2148,0.95853,0.025582,0.0,93552.528,5302.283937842938,0.8726646259971648,0.17860619515673035,0.8213938048432696,0.21744283205399903,0.001981478342038212,0.03631852165796179,2.894010933453939,1.0249537599999998,0.03781093151467981,0.03884033189258953,0.04030722189258953,0.20076658559777702,0.9144170028143201,0.9133876024364105,0.6890326331225699,0.00046303488694219365,202042072.07324168,10539162.680001756,0.0054875342310841445,0.0054203222353656115,138.60110388402276,135.22668952794785,12966483.65194095,734902.4068915544,33.30041381927687,1.8873701554860682,12650798.65841065,717010.3038517118,32.489674284698346,1.8414198075492387,"[0.186,0.223]",0.205,"[0.035,0.045]",0.04
6,12,0.25,50.0,0.0385,96900.0,4845.0,16,0.0031,0.2531,0.2115,0.21459999999999999,0.95853,0.025582,0.0,92881.557,5264.255262059228,0.8726646259971648,0.17860619515673035,0.8213938048432696,0.21744283205399903,0.001981478342038212,0.03651852165796179,2.894010933453939,1.0249537599999998,0.037775210275648466,0.038804167710194196,0.04028641771019419,0.20071476704566157,0.9148280332533516,0.9137990758188058,0.688943650005835,0.000468668824026355,198181641.7871587,10337790.251069799,0.005487534231084144,0.005420322235365611,138.69834826560586,135.32156637544887,12882518.540237721,730143.509696139,33.084775328445104,1.8751483958953712,12568877.780630538,712367.2678620538,32.27928577816537,1.8294956017287762,"[0.186,0.223]",0.205,"[0.035,0.045]",0.04
6,12,0.25,50.0,0.0387,92000.0,4600.0,16,0.0031,0.2531,0.2113,0.21439999999999998,0.95853,0.025582,0.0,88184.76,4998.054531573261,0.8726646259971648,0.17860619515673035,0.8213938048432696,0.21744283205399903,0.001981478342038212,0.036718521657961786,2.894010933453939,1.0249537599999998,0.03773948903661712,0.03876800352779886,0.040265693527798865,0.2006631344512461,0.9152390636923828,0.9142105492012012,0.6888540980801799,0.0004742986715878968,185926643.44761428,9698530.220630253,0.005487534231084144,0.005420322235365611,138.79626255115627,135.4170968172811,12239715.101970702,693711.2890092387,31.433932966449646,1.7815834743796297,11941724.182728697,676822.0344001068,30.668635204040477,1.7382086333139846,"[0.186,0.223]",0.205,"[0.035,0.045]",0.04
6,12,0.25,50.0,0.0389,91900.0,4595.0,16,0.0031,0.2531,0.2111,0.2142,0.95853,0.025582,0.0,88088.907,4992.621863604159,0.8726646259971648,0.17860619515673035,0.8213938048432696,0.21744283205399903,0.001981478342038212,0.036918521657961785,2.894010933453939,1.0249537599999998,0.03770376779758578,0.03873183934540353,0.04024504934540353,0.20061168795811357,0.9156500941314143,0.9146220225835966,0.6887639761409168,0.0004799244004322318,183547464.8104263,9574424.629924273,0.005487534231084144,0.005420322235365611,138.89484900094791,135.51328305868932,12235095.436423544,693449.459864131,31.42206878040226,1.7809110469801834,11937216.98862156,676566.5798075915,30.65705986619559,1.7375525769866766,"[0.186,0.223]",0.205,"[0.035,0.045]",0.04
6,12,0.25,50.0,0.0391,94100.0,4705.0,16,0.0031,0.2531,0.2109,0.214,0.95853,0.025582,0.0,90197.673,5112.14055892439,0.8726646259971648,0.17860619515673035,0.8213938048432696,0.21744283205399903,0.001981478342038212,0.03711852165796179,2.894010933453939,1.0249537599999998,0.03766804655855443,0.038695675163008196,0.040224485163008195,0.2005604277094766,0.9160611245704456,0.9150334959659918,0.6886732829816031,0.00048554598135386616,185765460.87045848,9690122.420292454,0.005487534231084145,0.005420322235365612,138.9941098864187,135.61012731581053,12536945.27246126,710557.4266019545,32.1972769803395,1.824847582687817,12231717.919119846,693258.0320520552,31.41339466898439,1.7804194236897253,"[0.186,0.223]",0.205,"[0.035,0.045]",0.04
6,12,0.25,50.0,0.0393,97400.0,4870.0,16,0.0031,0.2531,0.2107,0.2138,0.95853,0.025582,0.0,93360.822,5291.418601904735,0.8726646259971648,0.17860619515673035,0.8213938048432696,0.21744283205399903,0.001981478342038212,0.03731852165796179,2.894010933453939,1.0249537599999998,0.03763232531952308,0.038659510980612856,0.04020400098061286,0.20050935384817553,0.916472155009477,0.9154449693483873,0.6885820173940416,0.0004911633851369697,190080988.9848867,9915234.212016666,0.005487534231084145,0.005420322235365612,139.0940474902309,135.70763181573278,12985934.608994994,736004.8303040283,33.35036760292921,1.8902013899845553,12669776.057990165,718085.8874102073,32.53841188204356,1.8441821121613877,"[0.186,0.223]",0.205,"[0.035,0.045]",0.04
6,12,0.25,50.0,0.0395,97300.0,4865.0,16,0.0031,0.2531,0.2105,0.21359999999999998,0.95853,0.025582,0.0,93264.969,5285.9859339356335,0.8726646259971648,0.17860619515673035,0.8213938048432696,0.21744283205399903,0.001981478342038212,0.03751852165796179,2.894010933453939,1.0249537599999998,0.03759660408049174,0.038623346798217516,0.040183596798217515,0.2004584665166765,0.9168831854485083,0.9158564427307825,0.6884901781682803,0.0004967765825559068,187740268.51296687,9793134.72259433,0.005487534231084143,0.00542032223536561,139.1946641063325,135.80579879655502,12981986.032842513,735781.0365449688,33.34022690299821,1.889626644742368,12665923.614780942,717867.5421854827,32.52851806992564,1.843621359799069,"[0.186,0.223]",0.205,"[0.035,0.045]",0.04
6,12,0.25,50.0,0.0397,96100.0,4805.0,16,0.0031,0.2531,0.2103,0.21339999999999998,0.95853,0.025582,0.0,92114.733,5220.793918306416,0.8726646259971648,0.17860619515673035,0.8213938048432696,0.21744283205399903,0.001981478342038212,0.03771852165796179,2.894010933453939,1.0249537599999998,0.03756088284146039,0.03858718261582218,0.040163272615822185,0.20040776585706999,0.9172942158875396,0.9162679161131778,0.6883977640926134,0.0005023855443758173,183354664.62206194,9564367.553548764,0.005487534231084144,0.005420322235365611,139.2959620400187,135.90463050744722,12831210.351294458,727235.5114631711,32.95300607087368,1.8676800993900915,12518818.752657155,709530.0684229612,32.15072460524823,1.8222091300880656,"[0.186,0.223]",0.205,"[0.035,0.045]",0.04
6,12,0.25,50.0,0.0399,95500.0,4775.0,16,0.0031,0.2531,0.2101,0.2132,0.95853,0.025582,0.0,91539.615,5188.197910491809,0.8726646259971648,0.17860619515673035,0.8213938048432696,0.21744283205399903,0.001981478342038212,0.037918521657961786,2.894010933453939,1.0249537599999998,0.037525161602429045,0.03855101843342685,0.04014302843342685,0.20035725201106858,0.917705246326571,0.9166793894955731,0.6883047739535818,0.0005079902413531588,180199554.14135793,9399786.868504789,0.0054875342310841445,0.0054203222353656115,139.39794360799317,136.00412920871005,12760434.089667406,723224.1197538452,32.77123907343414,1.8573780770764494,12449765.626175573,705616.3389788875,31.973382948938244,1.8121579231793343,"[0.186,0.223]",0.205,"[0.035,0.045]",0.04
6,12,0.25,50.0,0.0401,93400.0,4670.0,16,0.0031,0.2531,0.2099,0.213,0.95853,0.025582,0.0,89526.702,5074.11188314068,0.8726646259971648,0.17860619515673035,0.8213938048432696,0.21744283205399903,0.001981478342038212,0.038118521657961785,2.894010933453939,1.0249537599999998,0.0374894403633977,0.038514854251031516,0.040122864251031516,0.20030692512000556,0.9181162767656023,0.9170908628779685,0.6882112065359732,0.0005135906442362753,174315289.82216743,9092844.763448583,0.005487534231084144,0.005420322235365611,139.5006111384311,136.10429717183644,12489029.642208204,707841.7086829004,32.07422046334776,1.817873098861017,12184968.853822444,690608.4316261257,31.293334114260684,1.7736147422504378,"[0.186,0.223]",0.205,"[0.035,0.045]",0.04
6,12,0.25,50.0,0.0403,94000.0,4700.0,16,0.0031,0.2531,0.2097,0.2128,0.95853,0.025582,0.0,90101.81999999999,5106.707890955287,0.8726646259971648,0.17860619515673035,0.8213938048432696,0.21744283205399903,0.001981478342038212,0.03831852165796179,2.894010933453939,1.0249537599999998,0.037453719124366354,0.03847869006863618,0.040102780068636185,0.20025678532483285,0.9185273072046337,0.9175023362603639,0.6881170606228232,0.0005191867237659603,173544152.56699863,9052619.770220997,0.005487534231084143,0.00542032223536561,139.60396697104105,136.20513667957184,12578571.503310684,712916.6797396766,32.30418111489375,1.8309065966733715,12272330.708178177,695559.8462702129,31.51769609088878,1.786330923527098,"[0.186,0.223]",0.205,"[0.035,0.045]",0.04
6,12,0.25,50.0,0.0405,91100.0,4555.0,16,0.0031,0.2531,0.2095,0.21259999999999998,0.95853,0.025582,0.0,87322.083,4949.160519851348,0.8726646259971648,0.17860619515673035,0.8213938048432696,0.21744283205399903,0.001981478342038212,0.03851852165796179,2.894010933453939,1.0249537599999998,0.03741799788533501,0.03844252588624084,0.040082775886240846,0.20020683276611925,0.9189383376436651,0.9179138096427591,0.6880223349954151,0.0005247784506760142,166397996.88328013,8679853.363133138,0.005487534231084144,0.005420322235365611,139.70801345712806,136.3066500259759,12199594.746868454,691437.384508879,31.330896209272908,1.7757436520438217,11902580.60702022,674603.4909017546,30.568107003454394,1.7325109886360357,"[0.186,0.223]",0.205,"[0.035,0.045]",0.04
