Z,A,E0,ThetaDeg,nu,cross,error,dataSet,ratio,ratio_error
26,56,0.2203,140,0.00642,0,0,Altemus:1973,#DIV/0!,#DIV/0!
26,56,0.2203,140,0.01453,250.1017822,5.002035645,Altemus:1973,8.089506528,0.240474096
26,56,0.2203,140,0.02472,2175.838079,43.51676157,Altemus:1973,1.793929446,0.040056749
26,56,0.2203,140,0.03491,4427.76376,88.55527521,Altemus:1973,1.23403151,0.02420635
26,56,0.2203,140,0.04512,7479.050783,149.5810157,Altemus:1973,0.995099541,0.02444829
26,56,0.2203,140,0.05535,10415.06058,208.3012116,Altemus:1973,0.889154694,0.02029945
26,56,0.2203,140,0.06558,12457.72558,249.1545117,Altemus:1973,0.86950061,0.019043605
26,56,0.2203,140,0.07583,13294.88746,265.8977492,Altemus:1973,0.869055871,0.019228444
26,56,0.2203,140,0.08609,12962.34112,259.2468224,Altemus:1973,0.954225775,0.021276249
26,56,0.2203,140,0.09637,11703.55521,234.0711041,Altemus:1973,1.082577027,0.024983861
26,56,0.2203,140,0.10662,9858.553067,197.1710613,Altemus:1973,1.116695313,0.029356235
26,56,0.2203,140,0.1169,7773.7788,155.475576,Altemus:1973,1.249919795,0.026352692
26,56,0.2203,140,0.12717,5796.41027,115.9282054,Altemus:1973,1.463026184,0.035301159
26,56,0.2203,140,0.13745,4266.658782,85.33317564,Altemus:1973,1.625323316,0.047458681
26,56,0.2203,140,0.14772,3155.11976,63.1023952,Altemus:1973,1.785700838,0.066463404
26,56,0.2203,140,0.15808,2530.265707,50.60531413,Altemus:1973,1.91829656,0.098626006
26,56,0.2498,140,0.00491,0.208821994,0.00417644,Altemus:1973,108.8008,12.20034323
26,56,0.2498,140,0.01091,0.244041529,0.004880831,Altemus:1973,2010.96921,79.29388117
26,56,0.2498,140,0.02659,827.6857295,16.55371459,Altemus:1973,2.557734082,0.051904966
26,56,0.2498,140,0.04232,2787.138411,55.74276823,Altemus:1973,1.393543996,0.021918897
26,56,0.2498,140,0.05809,5788.367554,115.7673511,Altemus:1973,0.992611465,0.013463727
26,56,0.2498,140,0.07389,8550.312623,171.0062525,Altemus:1973,0.895990631,0.012766785
26,56,0.2498,140,0.08974,9948.954329,198.9790866,Altemus:1973,0.93950577,0.012773202
26,56,0.2498,140,0.10028,9929.716676,198.5943335,Altemus:1973,0.949483284,0.013404209
26,56,0.2498,140,0.11087,9246.885708,184.9377142,Altemus:1973,1.009712923,0.015019111
26,56,0.2498,140,0.12144,8088.858874,161.7771775,Altemus:1973,1.097113961,0.015298821
26,56,0.2498,140,0.13205,6676.83494,133.5366988,Altemus:1973,1.205421442,0.021576091
26,56,0.2498,140,0.14266,5253.964498,105.07929,Altemus:1973,1.24340391,0.026642738
26,56,0.2498,140,0.15332,4022.353437,80.44706874,Altemus:1973,1.395924075,0.034810467
26,56,0.2498,140,0.16394,3125.069952,62.50139904,Altemus:1973,1.403072593,0.043896617
26,56,0.2498,140,0.17456,2602.822924,52.05645849,Altemus:1973,1.648325731,0.058056197
26,56,0.2498,140,0.18517,2418.245681,48.36491361,Altemus:1973,1.699703232,0.065493759
26,56,0.291,140,0.01381,0,0,Altemus:1973,#DIV/0!,#DIV/0!
26,56,0.291,140,0.02934,188.9708849,3.779417697,Altemus:1973,3.046765646,0.085732784
26,56,0.291,140,0.04648,905.0055371,18.10011074,Altemus:1973,1.690818384,0.035226304
26,56,0.291,140,0.06223,2143.457213,42.86914426,Altemus:1973,1.258760839,0.022388597
26,56,0.291,140,0.07801,3857.130646,77.14261292,Altemus:1973,1.049407026,0.019902359
26,56,0.291,140,0.09384,5572.322868,111.4464574,Altemus:1973,0.980991254,0.016199707
26,56,0.291,140,0.1097,6691.448622,133.8289724,Altemus:1973,0.932682944,0.018847937
26,56,0.291,140,0.12556,6884.331603,137.6866321,Altemus:1973,0.986762462,0.021670949
26,56,0.291,140,0.14143,6224.179838,124.4835968,Altemus:1973,1.067594474,0.025842762
26,56,0.291,140,0.15733,5039.705743,100.7941149,Altemus:1973,1.2361436,0.031747885
26,56,0.291,140,0.17058,3978.141155,79.56282309,Altemus:1973,1.295228047,0.036268195
26,56,0.291,140,0.18393,3114.824811,62.29649622,Altemus:1973,1.390896844,0.033456135
26,56,0.291,140,0.19454,2688.362408,53.76724816,Altemus:1973,1.490833226,0.040314505
26,56,0.291,140,0.20515,2521.605329,50.43210657,Altemus:1973,1.624837937,0.046565574
26,56,0.291,140,0.21574,2600.23117,52.00462341,Altemus:1973,1.708117359,0.051668483
26,56,0.291,140,0.22637,2898.17892,57.9635784,Altemus:1973,1.693511731,0.056618313
26,56,0.3299,140,0.01174,0,0,Altemus:1973,#DIV/0!,#DIV/0!
26,56,0.3299,140,0.02181,0,0,Altemus:1973,#DIV/0!,#DIV/0!
26,56,0.3299,140,0.03195,40.88554762,0.817710952,Altemus:1973,2.45343418,0.283278583
26,56,0.3299,140,0.04208,136.033261,2.72066522,Altemus:1973,1.892184294,0.139568807
26,56,0.3299,140,0.05222,306.5185981,6.130371962,Altemus:1973,1.688380422,0.089909716
26,56,0.3299,140,0.06242,573.2344044,11.46468809,Altemus:1973,1.531258405,0.064134322
26,56,0.3299,140,0.07262,979.2451299,19.5849026,Altemus:1973,1.430489626,0.048499603
26,56,0.3299,140,0.08282,1532.312908,30.64625815,Altemus:1973,1.251572045,0.037244351
26,56,0.3299,140,0.09302,2217.615671,44.35231342,Altemus:1973,1.253959393,0.032144434
26,56,0.3299,140,0.10323,2979.311331,59.58622663,Altemus:1973,1.11321028,0.029842467
26,56,0.3299,140,0.11349,3730.447578,74.60895157,Altemus:1973,1.072203781,0.025477372
26,56,0.3299,140,0.12369,4363.319487,87.26638974,Altemus:1973,1.093112712,0.026076477
26,56,0.3299,140,0.13396,4803.946404,96.07892807,Altemus:1973,1.052801088,0.024282119
26,56,0.3299,140,0.14423,5002.90942,100.0581884,Altemus:1973,1.073075594,0.025441196
26,56,0.3299,140,0.1545,4956.468976,99.12937951,Altemus:1973,1.136212095,0.026165805
26,56,0.3299,140,0.16476,4690.725062,93.81450124,Altemus:1973,1.167303546,0.027727057
26,56,0.3299,140,0.17503,4269.028693,85.38057386,Altemus:1973,1.244404848,0.031686365
26,56,0.3299,140,0.1853,3763.379955,75.26759911,Altemus:1973,1.254616875,0.035529232
26,56,0.3299,140,0.19557,3257.86012,65.15720239,Altemus:1973,1.289005619,0.039148397
26,56,0.3299,140,0.20583,2833.172743,56.66345485,Altemus:1973,1.431222297,0.045249624
26,56,0.3299,140,0.21617,2550.287792,51.00575583,Altemus:1973,1.435092938,0.051092273
26,56,0.3299,140,0.22643,2450.587964,49.01175928,Altemus:1973,1.561992492,0.057206679
26,56,0.3299,140,0.23683,2544.774202,50.89548404,Altemus:1973,1.552554249,0.059435529
26,56,0.3299,140,0.2471,2824.418286,56.48836571,Altemus:1973,1.597532498,0.060536359
26,56,0.3299,140,0.25737,3276.257994,65.52515989,Altemus:1973,1.582903425,0.061145978
26,56,0.3299,140,0.2677,3890.133828,77.80267656,Altemus:1973,1.645213322,0.06714422
26,56,0.3686,140,0.0299,2.126433151,0.042528663,Altemus:1973,4.622764649,1.150188991
26,56,0.3686,140,0.05011,51.73455795,1.034691159,Altemus:1973,1.394019836,0.132632814
26,56,0.3686,140,0.07045,207.5269637,4.150539273,Altemus:1973,1.528331521,0.071879816
26,56,0.3686,140,0.09085,607.4816076,12.14963215,Altemus:1973,1.374823516,0.058783673
26,56,0.3686,140,0.11125,1373.789709,27.47579418,Altemus:1973,1.289280294,0.039495856
26,56,0.3686,140,0.13172,2407.294046,48.14588092,Altemus:1973,1.13891363,0.031903456
26,56,0.3686,140,0.15219,3313.238924,66.26477848,Altemus:1973,1.19626145,0.029228499
26,56,0.3686,140,0.16325,3601.996303,72.03992606,Altemus:1973,1.142449812,0.030061108
26,56,0.3686,140,0.17273,3703.64955,74.072991,Altemus:1973,1.197197505,0.03351559
26,56,0.3686,140,0.18339,3659.046104,73.18092208,Altemus:1973,1.200148857,0.034864278
26,56,0.3686,140,0.19326,3488.954816,69.77909632,Altemus:1973,1.211680925,0.034976091
26,56,0.3686,140,0.20379,3211.59499,64.23189981,Altemus:1973,1.248881011,0.037473592
26,56,0.3686,140,0.2138,2906.621659,58.13243319,Altemus:1973,1.348094269,0.043366497
26,56,0.3686,140,0.2344,2385.671185,47.7134237,Altemus:1973,1.374539803,0.049239812
26,56,0.3686,140,0.25493,2322.056108,46.44112217,Altemus:1973,1.458276563,0.054434516
26,56,0.3686,140,0.2756,2890.817214,57.81634427,Altemus:1973,1.515350047,0.054645447
26,56,0.3686,140,0.28587,3383.685737,67.67371474,Altemus:1973,1.453237795,0.052626046
26,56,0.3686,140,0.29613,3966.205141,79.32410282,Altemus:1973,1.418585222,0.052448119
26,56,0.3686,140,0.3064,4580.834541,91.61669082,Altemus:1973,1.468400559,0.058332166
26,56,0.1009,160,0.00091,0,0,Altemus:1973,#DIV/0!,#DIV/0!
26,56,0.1009,160,0.0022,1636.816983,32.73633965,Altemus:1973,2.196091584,0.142215044
26,56,0.1009,160,0.00506,7964.869125,159.2973825,Altemus:1973,0.815581512,0.032673481
26,56,0.1009,160,0.01017,18661.90553,373.2381106,Altemus:1973,0.523681785,0.017591987
26,56,0.1009,160,0.01537,27179.05386,543.5810771,Altemus:1973,0.52658198,0.015064542
26,56,0.1009,160,0.02061,32242.43346,644.8486692,Altemus:1973,0.523161505,0.01452775
26,56,0.1009,160,0.02623,33416.12741,668.3225481,Altemus:1973,0.632179778,0.016539619
26,56,0.1009,160,0.03136,31198.50679,623.9701358,Altemus:1973,0.760388956,0.019781075
26,56,0.1009,160,0.03656,26820.69308,536.4138616,Altemus:1973,0.943003222,0.025389351
26,56,0.1009,160,0.04159,22396.47767,447.9295534,Altemus:1973,1.16933566,0.033234244
26,56,0.1507,160,0.00291,0,0,Altemus:1973,#DIV/0!,#DIV/0!
26,56,0.1507,160,0.0066,0,0,Altemus:1973,#DIV/0!,#DIV/0!
26,56,0.1507,160,0.01271,4433.166682,88.66333364,Altemus:1973,0.868137897,0.021956991
26,56,0.1507,160,0.01791,8262.869207,165.2573841,Altemus:1973,0.753588111,0.015354231
26,56,0.1507,160,0.02311,11758.62062,235.1724124,Altemus:1973,0.714990327,0.01287651
