q_0.1_x,q_0.1_RL_1b,q_0.1_RT_1b,q_0.1_RL_1b2b,q_0.1_RT_1b2b,,q_0.148_x,q_0.148_RL_1b,q_0.148_RT_1b,q_0.148_RL_1b2b,q_0.148_RT_1b2b,,q_0.167_x,q_0.167_RL_1b,q_0.167_RT_1b,q_0.167_RL_1b2b,q_0.167_RT_1b2b,,q_0.205_x,q_0.205_RL_1b,q_0.205_RT_1b,q_0.205_RL_1b2b,q_0.205_RT_1b2b,,q_0.24_x,q_0.24_RL_1b,q_0.24_RT_1b,q_0.24_RL_1b2b,q_0.24_RT_1b2b,,q_0.3_x,q_0.3_RL_1b,q_0.3_RT_1b,q_0.3_RL_1b2b,q_0.3_RT_1b2b,,q_0.38_x,q_0.38_RL_1b,q_0.38_RT_1b,q_0.38_RL_1b2b,q_0.38_RT_1b2b,,q_0.475_x,q_0.475_RL_1b,q_0.475_RT_1b,q_0.475_RL_1b2b,q_0.475_RT_1b2b,,q_0.57_x,q_0.57_RL_1b,q_0.57_RT_1b,q_0.57_RL_1b2b,q_0.57_RT_1b2b,,q_0.649_x,q_0.649_RL_1b,q_0.649_RT_1b,q_0.649_RL_1b2b,q_0.649_RT_1b2b
40,0.0415703,0.0103295,0.0417622,0.0129889,,40,0.104924,0.0244768,0.104636,0.0314863,,40,0.12166,0.0305973,0.121146,0.0393751,,40,0.121819,0.0389473,0.121075,0.049883,,40,0.0966816,0.04083,0.0959543,0.0520606,,40,0.0563287,0.0375174,0.0556804,0.0475901,,40,0.0213382,0.0236765,0.0210066,0.0297263,,40,0.00503037,0.00936167,0.00493598,0.0115408,,40,0.000300468,0.000954214,0.000294261,0.00114129,,40,3.45E-06,1.71E-05,3.40E-06,1.81E-05
41,0.038452,0.00985349,0.0386548,0.0123453,,41,0.100157,0.02389,0.0999121,0.0306719,,41,0.1177,0.0301651,0.117227,0.0387685,,41,0.120808,0.0390837,0.120077,0.0500369,,41,0.0973609,0.04136,0.0966237,0.0527311,,41,0.0576228,0.0383932,0.0569544,0.0487064,,41,0.0220891,0.0244747,0.0217432,0.0307415,,41,0.0052444,0.00974526,0.00514558,0.0120183,,41,0.000327477,0.0010386,0.000320806,0.00124307,,41,4.48E-06,2.18E-05,4.42E-06,2.32E-05
42,0.0356212,0.00937007,0.0358355,0.0116922,,42,0.095608,0.0232206,0.095411,0.0297497,,42,0.113836,0.0296193,0.113411,0.0380136,,42,0.119765,0.0390957,0.119053,0.0500291,,42,0.0980523,0.0418085,0.0973113,0.0532959,,42,0.0588887,0.039208,0.0582049,0.0497427,,42,0.0228608,0.0252724,0.0225017,0.0317549,,42,0.00546775,0.0101423,0.00536444,0.0125121,,42,0.000356979,0.00112936,0.0003498,0.00135243,,42,5.75E-06,2.76E-05,5.69E-06,2.94E-05
43,0.033037,0.00888257,0.033263,0.0110348,,43,0.0912434,0.0224828,0.0910974,0.0287393,,43,0.110043,0.028974,0.109671,0.0371292,,43,0.11868,0.03899,0.117996,0.0498682,,43,0.0987401,0.0421737,0.0980013,0.0537516,,43,0.0601078,0.0399568,0.0594135,0.0506923,,43,0.0236453,0.0260669,0.0232744,0.032763,,43,0.00570128,0.0105536,0.00559344,0.0130233,,43,0.0003894,0.00122708,0.000381655,0.00147,,43,7.30E-06,3.44E-05,7.24E-06,3.68E-05
44,0.0306557,0.00839279,0.0308928,0.0103762,,44,0.0870215,0.0216893,0.086928,0.027658,,44,0.106292,0.0282434,0.105977,0.0361346,,44,0.117526,0.0387752,0.116875,0.0495649,,44,0.0993964,0.0424564,0.0986652,0.0540991,,44,0.0612628,0.0406393,0.0605627,0.051555,,44,0.0244316,0.0268523,0.0240503,0.0337582,,44,0.00594418,0.0109777,0.00583177,0.0135496,,44,0.000424852,0.00133162,0.000416471,0.00159553,,44,9.17E-06,4.25E-05,9.11E-06,4.56E-05
45,0.0284412,0.00790298,0.0286886,0.00972001,,45,0.0829084,0.0208522,0.0828675,0.0265221,,45,0.102555,0.0274413,0.102299,0.0350478,,45,0.116268,0.0384594,0.115655,0.0491294,,45,0.0999842,0.0426577,0.0992654,0.0543398,,45,0.0623407,0.0412582,0.0616393,0.0523348,,45,0.0252073,0.0276244,0.0248171,0.0347354,,45,0.00619425,0.0114116,0.00607728,0.0140876,,45,0.000463188,0.00144239,0.000454104,0.00172824,,45,1.14E-05,5.18E-05,1.13E-05,5.58E-05
46,0.0263714,0.00741736,0.0266279,0.00907233,,46,0.0788903,0.0199852,0.0789007,0.0253501,,46,0.0988196,0.0265828,0.0986227,0.033889,,46,0.114872,0.038052,0.114301,0.0485735,,46,0.100466,0.0427797,0.099764,0.0544762,,46,0.0633317,0.041816,0.062633,0.0530349,,46,0.0259638,0.0283805,0.025566,0.035691,,46,0.00644927,0.011853,0.00632779,0.0146342,,46,0.000503988,0.0015585,0.000494151,0.00186706,,46,1.39E-05,6.23E-05,1.38E-05,6.73E-05
47,0.0244363,0.00694155,0.0247005,0.00844074,,47,0.0749705,0.0191027,0.0750298,0.0241609,,47,0.0950896,0.0256842,0.0949503,0.0326794,,47,0.113318,0.0375633,0.112791,0.0479106,,47,0.100815,0.0428271,0.100133,0.0545146,,47,0.0642309,0.0423156,0.0635382,0.0536594,,47,0.026696,0.0291189,0.0262918,0.0366231,,47,0.00670724,0.012299,0.00658132,0.015186,,47,0.000546786,0.00167917,0.000536163,0.0020111,,47,1.67E-05,7.40E-05,1.66E-05,8.01E-05
48,0.0226337,0.00648187,0.0229038,0.00783346,,48,0.0711658,0.0182197,0.0712707,0.0229743,,48,0.0913844,0.0247624,0.0913004,0.031441,,48,0.111611,0.0370062,0.111129,0.0471575,,48,0.101017,0.0428056,0.100357,0.0544623,,48,0.0650387,0.0427594,0.0643547,0.0542113,,48,0.0274027,0.0298387,0.0269934,0.0375306,,48,0.00696688,0.012748,0.00683662,0.0157409,,48,0.00059127,0.00180411,0.000579848,0.00216008,,48,1.99E-05,8.68E-05,1.98E-05,9.42E-05
49,0.0209654,0.00604451,0.0212396,0.00725828,,49,0.0674994,0.017351,0.0676461,0.0218094,,49,0.0877349,0.0238349,0.0877029,0.0301968,,49,0.109772,0.036396,0.109335,0.0463338,,49,0.101077,0.0427246,0.100441,0.0543315,,49,0.0657619,0.0431505,0.0650886,0.0546944,,49,0.0280855,0.0305397,0.027672,0.0384132,,49,0.00722703,0.0131982,0.00709253,0.016297,,49,0.000637415,0.00193359,0.000625188,0.00231442,,49,2.34E-05,0.000100827,2.33E-05,0.000109469
