Z,A,E0,ThetaDeg,nu,cross,ratio,ratio_error,dataSet
26,56,0.2,140,0.075,14266,1.06547,0.049628487,Meziani:1984is
26,56,0.2,140,0.085,13432,1.06462,0.054571173,Meziani:1984is
26,56,0.2,140,0.095,12109,1.11487,0.061689652,Meziani:1984is
26,56,0.2,140,0.105,10575,0.974,0.060898345,Meziani:1984is
26,56,0.2,140,0.115,9010.6,0.8712,0.062370985,Meziani:1984is
26,56,0.2008,160,0.026,3099.9,1.35575,0.030057744,Altemus:1973
26,56,0.2008,160,0.0362,5290.9,1.14415,0.021964127,Altemus:1973
26,56,0.2008,160,0.0463,8267.2,0.9319,0.016474744,Altemus:1973
26,56,0.2008,160,0.0564,10323,0.91528,0.015193258,Altemus:1973
26,56,0.2008,160,0.0666,11523,0.94012,0.015222598,Altemus:1973
26,56,0.2008,160,0.0771,11790,0.97871,0.016120441,Altemus:1973
26,56,0.2008,160,0.0873,11297,1.00912,0.017632115,Altemus:1973
26,56,0.2008,160,0.0976,10323,1.06035,0.020008718,Altemus:1973
26,56,0.2008,160,0.1078,9115.6,1.04009,0.022578876,Altemus:1973
26,56,0.2008,160,0.1175,7900.5,0.88912,0.024540219,Altemus:1973
26,56,0.2008,160,0.1284,6571.8,0.91654,0.030434584,Altemus:1973
26,56,0.2008,160,0.1379,5480.4,0.86605,0.03818152,Altemus:1973
26,56,0.2,60,0.015,203370,1.78984,0.061464326,Meziani:1984is
26,56,0.2,60,0.025,231430,1.45616,0.051419436,Meziani:1984is
26,56,0.2,60,0.035,219980,1.4865,0.058187108,Meziani:1984is
26,56,0.2,60,0.045,185570,1.57892,0.068976666,Meziani:1984is
26,56,0.2,60,0.055,145280,1.6451,0.084664097,Meziani:1984is
26,56,0.2,60,0.065,108910,1.45992,0.101000826,Meziani:1984is
26,56,0.2,60,0.075,79704,1.46793,0.141774566,Meziani:1984is
26,56,0.2,60,0.085,57492,1.29931,0.217421554,Meziani:1984is
26,56,0.2,60,0.095,40990,1.14418,0.380580629,Meziani:1984is
26,56,0.2004,90,0.0191,27804,1.20691,0.014626672,Altemus:1973
26,56,0.2004,90,0.0296,41752,0.92218,0.010818164,Altemus:1973
26,56,0.2004,90,0.0402,48121,0.90871,0.007333597,Altemus:1973
26,56,0.2004,90,0.0511,48354,0.98406,0.011185011,Altemus:1973
26,56,0.2004,90,0.0615,44215,1.11826,0.012989483,Altemus:1973
26,56,0.2004,90,0.072,37821,1.196,0.015321647,Altemus:1973
26,56,0.2004,90,0.0826,30948,1.15878,0.018005687,Altemus:1973
26,56,0.2004,90,0.0932,24605,1.13753,0.022505182,Altemus:1973
26,56,0.2004,90,0.1038,19161,0.99572,0.031347007,Altemus:1973
26,56,0.2004,90,0.1144,14656,0.93061,0.057476801,Altemus:1973
26,56,0.2004,90,0.125,11035,1.1942,0.130285455,Altemus:1973
26,56,0.2004,90,0.1351,8364.5,1.47337,0.304979377,Altemus:1973
26,56,0.2,90,0.015,24305,1.33717,0.046492491,Meziani:1984is
26,56,0.2,90,0.025,37276,1.12673,0.040508638,Meziani:1984is
26,56,0.2,90,0.035,46030,1.03845,0.039539431,Meziani:1984is
26,56,0.2,90,0.045,49133,1.05835,0.042537602,Meziani:1984is
26,56,0.2,90,0.055,47285,1.16316,0.048641218,Meziani:1984is
26,56,0.2,90,0.065,42255,1.27086,0.057271329,Meziani:1984is
26,56,0.2,90,0.075,35869,1.38002,0.068025314,Meziani:1984is
26,56,0.2,90,0.085,29417,1.24078,0.072067172,Meziani:1984is
26,56,0.2,90,0.095,23567,1.09475,0.080196885,Meziani:1984is
26,56,0.2,90,0.105,18549,0.90032,0.101892285,Meziani:1984is
26,56,0.2,90,0.115,14372,0.70276,0.168382967,Meziani:1984is
26,56,0.2065,180,0.0265,2401.2,1.39514,0.020406463,Hotta:1984
26,56,0.2065,180,0.0364,3496.9,1.45843,0.018587892,Hotta:1984
26,56,0.2065,180,0.0464,4749.7,1.37482,0.01642209,Hotta:1984
26,56,0.2065,180,0.0563,5853.1,1.40951,0.015034768,Hotta:1984
26,56,0.2065,180,0.0663,6514.3,1.43684,0.018881538,Hotta:1984
26,56,0.2065,180,0.0762,6565.8,1.5992,0.01187974,Hotta:1984
26,56,0.2065,180,0.0861,6074.4,1.76149,0.014487028,Hotta:1984
26,56,0.2065,180,0.0961,5215,2.07095,0.022051774,Hotta:1984
26,56,0.2065,180,0.106,4213.2,2.37349,0.026820469,Hotta:1984
26,56,0.2065,180,0.116,3215.6,2.64336,0.031098395,Hotta:1984
26,56,0.2065,180,0.1259,2340,3.07265,0.074358974,Hotta:1984
26,56,0.2203,140,0.0349,3862.9,1.41448,0.027745994,Altemus:1973
26,56,0.2203,140,0.0451,7061.7,1.05391,0.025893199,Altemus:1973
26,56,0.2203,140,0.0553,9533.7,0.97135,0.02217607,Altemus:1973
26,56,0.2203,140,0.0656,11298,0.95875,0.020998407,Altemus:1973
26,56,0.2203,140,0.0758,12198,0.9472,0.020957534,Altemus:1973
26,56,0.2203,140,0.0861,12259,1.00897,0.022496941,Altemus:1973
26,56,0.2203,140,0.0964,11673,1.08541,0.025049259,Altemus:1973
26,56,0.2203,140,0.1066,10686,1.03023,0.027083099,Altemus:1973
26,56,0.2203,140,0.1169,9502.3,1.02255,0.021558991,Altemus:1973
26,56,0.2203,140,0.1272,8267.7,1.02571,0.024749326,Altemus:1973
26,56,0.2203,140,0.1375,7066.1,0.9814,0.028656543,Altemus:1973
26,56,0.2203,140,0.1477,5956.6,0.94586,0.035204647,Altemus:1973
26,56,0.2203,140,0.1581,4977.3,0.97519,0.050137625,Altemus:1973
26,56,0.2211,180,0.0366,2402.3,1.61096,0.019564584,Hotta:1984
26,56,0.2211,180,0.0465,3395.7,1.50484,0.017080425,Hotta:1984
