Z,A,E0,ThetaDeg,nu,cross,error,dataSet
26,56,0.2503,160,0.0592,4050,79.9,Altemus:1973
26,56,0.2503,160,0.0671,4740,86.1,Altemus:1973
26,56,0.2503,160,0.0747,5540,95.3,Altemus:1973
26,56,0.2503,160,0.0821,6250,104,Altemus:1973
26,56,0.2503,160,0.0891,6790,111,Altemus:1973
26,56,0.2503,160,0.0957,6960,115,Altemus:1973
26,56,0.2503,160,0.1017,7300,120,Altemus:1973
26,56,0.2503,160,0.1089,7120,123,Altemus:1973
26,56,0.2503,160,0.1161,7320,129,Altemus:1973
26,56,0.2503,160,0.1233,6650,128,Altemus:1973
26,56,0.2503,160,0.1304,6480,131,Altemus:1973
26,56,0.2503,160,0.1377,5940,131,Altemus:1973
26,56,0.2503,160,0.1469,5350,132,Altemus:1973
26,56,0.2503,160,0.1572,4260,129,Altemus:1973
26,56,0.2503,160,0.1674,3700,131,Altemus:1973
26,56,0.2503,160,0.0041,18.7,6.57,Altemus:1973
26,56,0.291,140,0.0138,102,6.7,Altemus:1973
26,56,0.291,140,0.0293,590,19.8,Altemus:1973
26,56,0.291,140,0.0465,1570,43.3,Altemus:1973
26,56,0.291,140,0.0622,2770,70.3,Altemus:1973
26,56,0.291,140,0.078,4150,109,Altemus:1973
26,56,0.291,140,0.0938,5600,138,Altemus:1973
26,56,0.291,140,0.1097,6400,174,Altemus:1973
26,56,0.291,140,0.1256,6960,198,Altemus:1973
26,56,0.291,140,0.1414,6810,206,Altemus:1973
26,56,0.291,140,0.1573,6390,201,Altemus:1973
26,56,0.291,140,0.1706,5280,176,Altemus:1973
26,56,0.291,140,0.1839,4440,134,Altemus:1973
26,56,0.2988,90,0.0117,3120,108,Altemus:1973
26,56,0.2988,90,0.0222,5820,166,Altemus:1973
26,56,0.2988,90,0.0327,8740,186,Altemus:1973
26,56,0.2988,90,0.0432,11300,224,Altemus:1973
26,56,0.2988,90,0.0538,14100,271,Altemus:1973
26,56,0.2988,90,0.0643,16900,323,Altemus:1973
26,56,0.2988,90,0.0749,19100,360,Altemus:1973
26,56,0.2988,90,0.0854,20100,381,Altemus:1973
26,56,0.2988,90,0.0945,21300,403,Altemus:1973
26,56,0.2988,90,0.1066,21300,409,Altemus:1973
26,56,0.2988,90,0.1153,20300,390,Altemus:1973
26,56,0.2988,90,0.1278,17800,362,Altemus:1973
26,56,0.2988,90,0.1338,16000,401,Altemus:1973
26,56,0.2988,90,0.1338,16000,401,Altemus:1973
26,56,0.2988,90,0.1384,15000,324,Altemus:1973
26,56,0.2988,90,0.1384,15000,324,Altemus:1973
26,56,0.2988,90,0.149,12500,288,Altemus:1973
26,56,0.2988,90,0.1596,10800,267,Altemus:1973
26,56,0.2988,90,0.1702,9200,249,Altemus:1973
26,56,0.2988,90,0.1809,8680,252,Altemus:1973
26,56,0.2988,90,0.1915,8140,274,Altemus:1973
26,56,0.2988,90,0.2042,8580,375,Altemus:1973
26,56,0.2988,90,0.213,9130,507,Altemus:1973
26,56,0.2988,90,0.2218,10000,867,Altemus:1973
26,56,0.2988,90,0.2275,11400,1080,Altemus:1973
26,56,0.2988,90,0.2341,12300,1670,Altemus:1973
26,56,0.2994,160,0.022,76.6,13.3,Altemus:1973
26,56,0.2994,160,0.0372,364,29.8,Altemus:1973
26,56,0.2994,160,0.0525,826,46.6,Altemus:1973
26,56,0.2994,160,0.0678,1530,69.6,Altemus:1973
26,56,0.2994,160,0.0831,2460,90.2,Altemus:1973
26,56,0.2994,160,0.0985,3420,121,Altemus:1973
26,56,0.2994,160,0.1037,3780,113,Altemus:1973
26,56,0.2994,160,0.1158,4240,131,Altemus:1973
26,56,0.2994,160,0.1294,4740,162,Altemus:1973
26,56,0.2994,160,0.1448,5210,168,Altemus:1973
26,56,0.2994,160,0.1601,4660,173,Altemus:1973
26,56,0.2994,160,0.1755,4170,160,Altemus:1973
