W2,Q2,x,FL,FLerr,F1,F1err,F2,F2err,R,Rerr,nu,q2,RL,RLerr,RT,RTerr
3.07,1.25,0.3634,0.0595,0.0202,0.3533,0.0203,0.2305,0.0044,0.2317,0.0918,1.833014394,4.609941767,0.321779412,0.109242759,0.753085722,0.043270988
3.11,0.5,0.1832,0.1135,0.0152,0.6689,0.0317,0.29,0.0035,0.4632,0.0836,1.45440487,2.615293527,1.726877822,0.231264695,1.425811038,0.067570952
3.11,2.2,0.4967,0.0317,0.0076,0.1713,0.0049,0.1447,0.0021,0.1865,0.0497,2.360311411,7.771069958,0.120133471,0.028801715,0.365138931,0.010444721
3.15,0.5,0.1805,0.1169,0.0145,0.6577,0.0304,0.2882,0.0035,0.4924,0.0836,1.476160511,2.679049855,1.849221275,0.229373041,1.401937389,0.064799904
3.15,2.2,0.4922,0.0307,0.0082,0.1759,0.005,0.1469,0.0027,0.1772,0.052,2.381890853,7.873404036,0.11895355,0.03177261,0.374944179,0.010657879
3.19,0.5,0.178,0.1082,0.0119,0.6926,0.0214,0.2901,0.0045,0.439,0.0614,1.496893103,2.740688961,1.775569964,0.195279876,1.476329384,0.045615722
3.23,0.5,0.1755,0.113,0.0141,0.6843,0.0299,0.2902,0.0035,0.4705,0.0789,1.518216366,2.804980934,1.924872719,0.240183233,1.458637305,0.063734116
3.23,0.8,0.254,0.117,0.0115,0.4992,0.0161,0.2886,0.0031,0.4613,0.06,1.678406124,3.617047119,1.10983166,0.109086018,1.064082628,0.03431837
3.23,1.25,0.3473,0.0544,0.0195,0.3815,0.02,0.2384,0.0047,0.2055,0.0843,1.917988571,4.928680158,0.329120947,0.11797534,0.813196159,0.042631516
3.23,2.2,0.4836,0.032,0.0093,0.1818,0.006,0.1513,0.0028,0.1821,0.0585,2.424248714,8.076981826,0.129458597,0.037623905,0.387520476,0.012789455
3.27,0.5,0.173,0.1185,0.0122,0.6784,0.0272,0.2917,0.0028,0.5048,0.072,1.540155909,2.872080224,2.09671593,0.215864425,1.446061008,0.057978861
3.31,0.5,0.1707,0.1207,0.0122,0.6896,0.0272,0.2955,0.0029,0.5126,0.0717,1.560907863,2.936433358,2.212914726,0.223674894,1.469934657,0.057978861
3.31,1.25,0.3397,0.0923,0.0133,0.355,0.0134,0.2517,0.0038,0.3828,0.0694,1.960899119,5.095125354,0.590189936,0.08504362,0.756709401,0.028563115
3.35,0.5,0.1684,0.1067,0.0091,0.7165,0.0181,0.2901,0.0031,0.4423,0.0484,1.582226676,3.003441255,2.028206896,0.172977345,1.527274045,0.038581522
3.35,1.25,0.3361,0.0662,0.0133,0.3872,0.0137,0.2476,0.0035,0.2543,0.0597,1.981902501,5.177937524,0.434787505,0.087351568,0.825346141,0.029202588
3.35,1.75,0.4147,0.0569,0.0112,0.2502,0.0094,0.1964,0.0033,0.274,0.0641,2.248768755,6.806960916,0.284403034,0.055980913,0.53332026,0.020036812
3.35,2.2,0.4711,0.0314,0.0089,0.1896,0.0059,0.155,0.0032,0.1757,0.0553,2.488572868,8.392994917,0.135503842,0.03840714,0.404146768,0.012576297
3.39,0.5,0.1661,0.1134,0.0089,0.7102,0.0179,0.2925,0.0031,0.4808,0.0491,1.604135896,3.073251972,2.236208901,0.175504931,1.513845118,0.038155206
3.39,2.2,0.4671,0.0406,0.0088,0.1893,0.0059,0.1612,0.0032,0.2293,0.0567,2.509883704,8.499516205,0.178948671,0.038786904,0.403507295,0.012576297
3.43,2.2,0.4632,0.0375,0.009,0.1939,0.006,0.1617,0.003,0.209,0.0562,2.531016144,8.606042721,0.168765752,0.04050378,0.413312543,0.012789455
3.47,2.2,0.4593,0.0376,0.0089,0.198,0.006,0.1641,0.0033,0.2067,0.0547,2.552507463,8.715294351,0.17281903,0.040906632,0.422052004,0.012789455
