Data:Z,A,E0,ThetaDeg,nu,cross,error,dataSet,Fit:ep,theta,nu,nu-nuel,w2,q2,scaled_sigtot_Fe56,sigqe,sigie,sigmec,nuccstot,signonuc,,ratio
26,56,0.2988,90,0.213,8838.6,470.37,Altemus:1973,0.0858,90,0.213,0.2075,1.2288,0.0513,6734.988,684.008,5047.38,1003.6,0,6734.988,,1.312340868
26,56,0.2988,90,0.22184,9711.1,824.99,Altemus:1973,0.077,90,0.2218,0.2163,1.2507,0.046,7348.952,403.988,6084.936,860.028,0,7348.952,,1.321426511
26,56,0.2988,90,0.22745,11025,1027.4,Altemus:1973,0.0713,90,0.2275,0.2219,1.2645,0.0426,7823.4,272.792,6787.924,762.736,0,7823.4,,1.409233837
26,56,0.2988,90,0.23414,11869,1604.3,Altemus:1973,0.0647,90,0.2341,0.2286,1.2811,0.0386,8474.44,156.728,7674.056,643.604,0,8474.44,,1.400564521
26,56,0.3208,90,0.00521,320.24,35.839,Altemus:1973,0.3156,90,0.0052,-0.0012,0.6876,0.2025,0,0,0,0,0,0,,#DIV/0!
26,56,0.3208,90,0.02332,3605.4,104.01,Altemus:1973,0.2975,90,0.0233,0.017,0.7333,0.1909,1394.848,0,0,0,1394.848,0,,2.58479777
26,56,0.3208,90,0.03415,5869.8,136.01,Altemus:1973,0.2866,90,0.0341,0.0278,0.7605,0.1839,4382.04,3037.996,0,1098.032,246.012,4136.028,,1.339513103
26,56,0.3208,90,0.04428,7742,160.58,Altemus:1973,0.2765,90,0.0443,0.0379,0.786,0.1774,8072.948,5327.088,1.716,2057.952,686.192,7386.756,,0.95900531
26,56,0.3208,90,0.05501,10267,189.41,Altemus:1973,0.2658,90,0.055,0.0486,0.8131,0.1705,11626.056,7934.004,7.28,3223.116,461.656,11164.4,,0.883102576
26,56,0.3208,90,0.06528,12239,218.5,Altemus:1973,0.2555,90,0.0653,0.0589,0.8389,0.1639,14725.412,10338.848,15.6,4299.984,70.98,14654.432,,0.831148222
26,56,0.3208,90,0.07599,13787,240.98,Altemus:1973,0.2448,90,0.076,0.0696,0.8659,0.1571,17744.688,12536.472,27.768,5178.264,2.132,17742.556,,0.776964915
26,56,0.3208,90,0.0865,15438,305.34,Altemus:1973,0.2343,90,0.0865,0.0801,0.8923,0.1503,19843.252,14163.604,46.02,5633.68,0,19843.252,,0.777997477
26,56,0.3208,90,0.09706,16373,304.64,Altemus:1973,0.2237,90,0.0971,0.0907,0.9189,0.1436,20670.884,14988.74,72.488,5609.708,0,20670.884,,0.7920803
26,56,0.3208,90,0.1075,16681,329.24,Altemus:1973,0.2133,90,0.1075,0.1011,0.9452,0.1369,20064.252,14802.788,110.968,5150.548,0,20064.252,,0.831379111
26,56,0.3208,90,0.11817,16802,353.68,Altemus:1973,0.2026,90,0.1182,0.1118,0.9721,0.13,18209.464,13639.964,191.36,4378.14,0,18209.464,,0.922707006
26,56,0.3208,90,0.12874,15809,352.75,Altemus:1973,0.1921,90,0.1287,0.1224,0.9987,0.1232,15628.496,11847.94,272.844,3507.712,0,15628.496,,1.011549672
26,56,0.3208,90,0.13935,14776,364.33,Altemus:1973,0.1814,90,0.1394,0.133,1.0254,0.1164,12955.436,9817.756,426.036,2711.644,0,12955.436,,1.140525105
26,56,0.3208,90,0.14992,12665,350.76,Altemus:1973,0.1709,90,0.1499,0.1436,1.0521,0.1096,10612.94,7867.236,636.688,2109.068,0,10612.94,,1.193354528
26,56,0.3208,90,0.16053,10799,324.7,Altemus:1973,0.1603,90,0.1605,0.1542,1.0788,0.1028,8773.96,6136.364,915.512,1722.136,0,8773.96,,1.230801143
26,56,0.3208,90,0.17112,9362.8,311.19,Altemus:1973,0.1497,90,0.1711,0.1648,1.1054,0.096,7419.984,4682.236,1224.444,1513.304,0,7419.984,,1.261835605
26,56,0.3208,90,0.18174,8430.7,297.7,Altemus:1973,0.1391,90,0.1817,0.1754,1.1322,0.0892,6639.568,3489.564,1737.788,1412.268,0,6639.568,,1.269766346
26,56,0.3208,90,0.19233,7854.9,308.97,Altemus:1973,0.1285,90,0.1923,0.186,1.1588,0.0824,6214.572,2535.52,2324.452,1354.652,0,6214.572,,1.263948668
26,56,0.3208,90,0.20297,7551.6,291.08,Altemus:1973,0.1178,90,0.203,0.1966,1.1856,0.0756,6136.884,1779.908,3061.032,1295.944,0,6136.884,,1.230526762
26,56,0.3208,90,0.21356,8088,335.15,Altemus:1973,0.1072,90,0.2136,0.2072,1.2123,0.0688,6369.428,1199.068,3956.264,1214.148,0,6369.428,,1.269815751
26,56,0.3208,90,0.23479,8732.2,568.86,Altemus:1973,0.086,90,0.2348,0.2284,1.2658,0.0552,7646.808,445.38,6242.652,958.724,0,7646.808,,1.141940533
26,56,0.3208,90,0.25569,12172,1573.9,Altemus:1973,0.0651,90,0.2557,0.2493,1.3184,0.0418,9612.876,100.464,8891.74,620.672,0,9612.876,,1.266218351
26,56,0.3488,90,0.00971,801.13,9.0793,Altemus:1973,0.3391,90,0.0097,0.0022,0.662,0.2365,0,0,0,0,0,0,,#DIV/0!
26,56,0.3488,90,0.0153,939.86,20.306,Altemus:1973,0.3335,90,0.0153,0.0078,0.6764,0.2326,1147.744,0,0,0,1147.744,0,,0.818875986
26,56,0.3488,90,0.02537,2124,31.602,Altemus:1973,0.3234,90,0.0254,0.0179,0.7023,0.2256,295.204,0,0,0,295.204,0,,7.195024458
26,56,0.3488,90,0.05631,6778.8,86.144,Altemus:1973,0.2925,90,0.0563,0.0488,0.782,0.204,6985.628,4646.564,6.552,2111.408,221.104,6764.576,,0.970392354
26,56,0.3488,90,0.0856,12444,25.657,Altemus:1973,0.2632,90,0.0856,0.0781,0.8574,0.1836,13862.888,9461.66,27.04,4374.136,0,13862.836,,0.897648455
26,56,0.3488,90,0.09665,13064,21.775,Altemus:1973,0.2521,90,0.0966,0.0892,0.8858,0.1759,15690.844,10813.452,45.188,4832.204,0,15690.844,,0.832587463
26,56,0.3488,90,0.10218,13421,217.29,Altemus:1973,0.2466,90,0.1022,0.0947,0.9001,0.172,16275.688,11292.684,63.232,4919.772,0,16275.688,,0.824604158
26,56,0.3488,90,0.11232,13845,229.56,Altemus:1973,0.2365,90,0.1123,0.1049,0.9262,0.165,16634.436,11715.288,98.54,4820.608,0,16634.436,,0.832309554
26,56,0.3488,90,0.12245,13606,254.49,Altemus:1973,0.2263,90,0.1225,0.115,0.9522,0.1579,16045.484,11476.556,148.044,4420.884,0,16045.484,,0.847964449
26,56,0.3488,90,0.13259,13103,279.26,Altemus:1973,0.2162,90,0.1326,0.1251,0.9783,0.1508,14666.08,10636.392,216.268,3813.472,0,14666.08,,0.893422101
26,56,0.3488,90,0.14279,12404,303.88,Altemus:1973,0.206,90,0.1428,0.1353,1.0046,0.1437,12817.324,9385.74,309.712,3121.82,0,12817.324,,0.967752707
26,56,0.3488,90,0.15306,11448,252.57,Altemus:1973,0.1957,90,0.1531,0.1456,1.031,0.1365,10906.74,7958.444,477.568,2470.728,0,10906.74,,1.049626194
26,56,0.3488,90,0.16326,9230.1,201.51,Altemus:1973,0.1855,90,0.1633,0.1558,1.0573,0.1294,9167.028,6561.62,648.336,1957.02,0,9167.028,,1.006880311
